ranking,tier,school,nickname,region,probation
121,2,Utah,Utes,West,
75,2,Utah State,Aggies,West,
322,3,Utah Valley,Wolverines,West,
107,2,VA Commonwealth,Rams,Atlantic East,
299,3,VMI,Keydets,Atlantic East,
146,2,Valparaiso,Crusaders,Midwest,
101,2,Vanderbilt,Commodores,Southeast,
124,2,Vermont,Catamounts,Atlantic East,
26,1,Villanova,Wildcats,Atlantic East,
16,1,Virginia,Cavaliers,Atlantic East,
127,2,Virginia Tech,Hokies,Atlantic East,
292,3,Wagner,Seahawks,Atlantic East,
128,2,Wake Forest,Demon Deacons,Atlantic East,
34,1,Washington,Huskies,West,
40,1,Washington State,Cougars,West,
95,2,Weber State,Wildcats,West,
2,1,West Virginia,Mountaineers,Atlantic East,
300,3,Western Carolina,Catamounts,Atlantic East,
278,3,Western Illinois,Leathernecks,Midwest,
144,2,Western Kentucky,Hilltoppers,Southeast,
153,2,Western Michigan,Broncos,Midwest,
99,2,Wichita State,Shockers,Great Plains,
140,2,William & Mary,Tribe,Atlantic East,
257,3,Winthrop,Eagles,Southeast,
46,2,Wisconsin,Badgers,Midwest,
102,2,Wofford,Terriers,Southeast,
267,3,Wright State,Raiders,Midwest,
214,3,Wyoming,Cowboys,West,
116,2,Xavier,Musketeers,Midwest,
269,3,Yale,Bulldogs,Atlantic East,
147,2,Youngstown State,Penguins,Midwest,
